transaction_id,user_id,merchant_id,merchant_category,timestamp,amount,transaction_type,device_type,is_online,card_present,is_international,merchant_lat,merchant_lon,distance_from_home_km,failed_attempts_before,is_fraud,fraud_type,account_age_days
TXN_00033553,USR_006707,MRC_03878,atm_withdrawal,2026-03-30 17:48:20.882187,583.99,online_purchase,pos_terminal,0,1,0,35.137922106548814,-89.85978631004593,1674.48,0,0,none,519
TXN_00009427,USR_006029,MRC_01801,gas_station,2026-03-24 00:18:43.285957,30.8,online_purchase,pos_terminal,1,0,0,25.903111265914244,-118.14790166865967,4127.66,0,0,none,278
TXN_00000199,USR_002102,MRC_04833,gas_station,2026-04-18 08:05:53.202852,89.25,purchase,web_browser,0,1,0,38.75495375765726,-116.34738670377992,4291.31,0,0,none,3642
TXN_00012447,USR_001304,MRC_04912,restaurant,2026-03-17 12:55:22.813835,55.16,contactless,pos_terminal,0,1,0,43.81098531820355,-81.71156009386954,3183.57,0,0,none,106
TXN_00039489,USR_007917,MRC_00805,grocery,2026-04-09 18:55:09.549167,54.39,purchase,pos_terminal,0,1,0,40.02267907544028,-111.29790517127954,3175.03,0,0,none,290
TXN_00042724,USR_005262,MRC_03402,jewelry,2026-02-17 21:01:35.387323,403.53,atm_withdrawal,pos_terminal,0,1,0,27.859359415877012,-100.23516244810082,1339.34,0,0,none,357
TXN_00010822,USR_003162,MRC_04503,grocery,2026-02-16 13:46:21.230917,15.35,contactless,atm,0,1,0,38.1161650708713,-78.67564461304711,1532.14,0,0,none,2108
TXN_00049498,USR_003179,MRC_00661,charity,2026-04-25 09:35:45.035371,3.33,online_purchase,web_browser,1,0,0,32.01189288274792,-112.8480848111945,1676.93,0,1,card_testing,818
TXN_00004144,USR_007221,MRC_02475,restaurant,2026-01-11 11:42:30.821949,58.72,online_purchase,pos_terminal,1,0,0,36.98039606885452,-105.70488830635875,1285.51,0,0,none,3313
TXN_00036958,USR_002172,MRC_01608,insurance,2026-04-25 07:04:29.726668,176.67,online_purchase,web_browser,1,0,0,28.473845156022627,-118.21923955674855,180.27,0,0,none,1261
TXN_00043106,USR_006754,MRC_03893,grocery,2026-04-10 11:31:48.528612,53.05,refund,web_browser,0,1,0,46.03531876604518,-72.16062782031936,2663.79,0,0,none,388
TXN_00038695,USR_000586,MRC_04680,money_transfer,2026-04-09 22:55:52.423331,1093.21,recurring,pos_terminal,0,1,0,36.451195240803415,-83.21373706123222,3454.0,0,0,none,728
TXN_00006188,USR_008826,MRC_02813,restaurant,2026-03-28 12:28:54.962309,56.18,recurring,pos_terminal,0,1,0,39.98192707709859,-112.15523698447649,2278.91,0,0,none,1740
TXN_00001414,USR_004406,MRC_02627,travel,2026-04-12 15:47:09.891812,358.21,recurring,pos_terminal,0,1,0,39.21460765979384,-109.47275467998031,1195.58,0,0,none,544
TXN_00018471,USR_002419,MRC_04932,healthcare,2026-03-02 13:59:59.166994,222.15,atm_withdrawal,pos_terminal,0,1,0,38.8762967453047,-113.59012546771868,1100.26,0,0,none,2005
TXN_00029282,USR_005934,MRC_00168,travel,2026-05-04 11:13:32.692618,201.0,purchase,mobile_app,0,1,0,41.19762982576154,-113.71772950940623,1386.86,0,0,none,328
TXN_00015177,USR_004295,MRC_03583,retail,2026-04-06 07:26:06.838620,37.88,purchase,mobile_app,0,1,0,26.245946642455895,-110.46164672202951,2761.59,0,0,none,3480
TXN_00034304,USR_009391,MRC_02554,retail,2026-04-28 20:12:24.543961,58.24,online_purchase,web_browser,0,1,0,33.4421787890142,-96.93244454554394,2091.12,0,0,none,1154
TXN_00012609,USR_003446,MRC_00368,healthcare,2026-04-08 20:28:16.670654,149.9,purchase,atm,0,1,0,33.68083317395179,-84.41023158413925,1861.57,0,0,none,2217
TXN_00012144,USR_009749,MRC_01030,electronics,2026-04-29 12:58:47.477333,128.11,online_purchase,mobile_app,1,0,0,29.223371569070455,-76.34227233646256,2206.15,0,0,none,3534
TXN_00006113,USR_005210,MRC_01825,electronics,2026-04-24 21:40:11.743679,197.76,purchase,pos_terminal,0,1,0,29.140228920119586,-76.10797703261865,1966.71,0,0,none,2849
TXN_00015908,USR_004695,MRC_01961,travel,2026-04-29 20:50:23.917837,428.67,purchase,web_browser,1,0,0,42.98450963978475,-88.47820213804452,1439.28,0,0,none,2675
TXN_00000821,USR_008969,MRC_00685,utility,2026-04-23 10:25:33.775921,78.38,purchase,web_browser,1,0,0,36.46166438535157,-87.09944511085317,1444.6,0,0,none,1157
TXN_00015118,USR_004918,MRC_03560,utility,2026-03-23 15:54:53.573694,187.16,contactless,mobile_app,0,1,0,41.2868985685831,-98.89220347163513,1260.88,0,0,none,1999
TXN_00013466,USR_000665,MRC_02661,utility,2026-03-26 09:20:31.738802,115.42,purchase,web_browser,1,0,0,41.71911442196024,-89.85363850267464,2684.11,0,0,none,2503
TXN_00026497,USR_001193,MRC_02817,atm_withdrawal,2026-05-12 15:34:32.907358,311.19,contactless,pos_terminal,0,1,0,27.14012701965541,-96.74940879110629,1500.59,0,0,none,233
TXN_00042111,USR_000633,MRC_04902,subscription,2026-04-08 09:54:28.762476,15.82,refund,mobile_app,0,1,0,47.432483587623416,-116.37591283935471,1583.44,0,0,none,2062
TXN_00030188,USR_003403,MRC_02650,atm_withdrawal,2026-04-26 11:32:08.980219,410.59,purchase,mobile_app,0,1,0,37.836208789140244,-81.67562733152396,1555.88,0,0,none,3539
TXN_00037237,USR_002162,MRC_02897,restaurant,2026-05-11 16:51:56.113664,92.72,purchase,mobile_app,1,0,0,29.007271828110802,-120.8027589014176,2628.61,0,0,none,713
TXN_00033109,USR_008823,MRC_00443,entertainment,2026-05-08 09:17:04.046387,36.6,online_purchase,web_browser,0,1,0,35.911819862853264,-88.99015254855696,1657.29,0,0,none,2719
TXN_00036480,USR_001113,MRC_00057,insurance,2026-05-04 20:02:34.691765,135.15,online_purchase,mobile_app,1,0,0,38.69107810208557,-79.89558713495124,1716.27,0,0,none,146
TXN_00024148,USR_000699,MRC_04867,insurance,2026-04-26 13:18:16.782638,116.91,atm_withdrawal,mobile_app,0,1,0,30.757006889514457,-73.41259299659288,2772.71,0,0,none,2628
TXN_00005503,USR_008288,MRC_00046,subscription,2026-04-19 17:38:30.956496,15.76,atm_withdrawal,mobile_app,0,1,0,25.08718073392741,-75.63979099800703,373.77,0,0,none,2418
TXN_00003918,USR_000883,MRC_00831,utility,2026-05-07 12:57:57.117025,115.87,purchase,web_browser,0,1,0,37.568785831450015,-87.82769748813251,1164.75,0,0,none,306
TXN_00038478,USR_008692,MRC_02622,healthcare,2026-05-08 15:16:54.689701,129.84,online_purchase,pos_terminal,0,1,0,30.24434506086868,-98.96194539288024,1204.98,0,0,none,2382
TXN_00021123,USR_004239,MRC_03381,healthcare,2026-04-16 18:51:15.173631,256.13,purchase,web_browser,0,1,0,27.996616858557605,-70.40711106819704,4082.4,1,0,none,3282
TXN_00049717,USR_006628,MRC_02655,subscription,2026-03-28 14:49:04.039511,3.99,online_purchase,web_browser,1,0,0,44.97987826052254,-82.20567192179422,1174.07,0,1,card_testing,3251
TXN_00042294,USR_003197,MRC_02438,crypto_exchange,2026-03-24 16:04:45.759384,509.45,online_purchase,pos_terminal,0,1,0,27.179981773743517,-84.73028564064782,2218.46,0,0,none,181
TXN_00047609,USR_005481,MRC_02944,jewelry,2026-05-07 18:36:01.600650,348.44,online_purchase,atm,0,1,0,47.78337658747498,-107.42688957837235,1807.13,0,0,none,3458
TXN_00011076,USR_001769,MRC_00323,grocery,2026-04-10 14:38:13.176187,174.98,purchase,pos_terminal,0,1,0,28.295547605644337,-96.66677270655259,2381.86,0,0,none,1285
TXN_00041514,USR_001394,MRC_04469,subscription,2026-04-03 06:09:00.063954,23.21,purchase,pos_terminal,0,1,0,38.13455703337415,-110.57665174731314,2730.33,0,0,none,3450
TXN_00022062,USR_007632,MRC_03098,grocery,2026-03-14 21:15:16.544693,131.77,online_purchase,mobile_app,0,1,0,29.43686254015821,-107.98630193239333,1011.84,0,0,none,3074
TXN_00009413,USR_005970,MRC_04706,insurance,2026-05-06 06:52:26.114036,450.27,contactless,web_browser,1,0,0,44.710354169406386,-116.14205159997309,3181.98,0,0,none,87
TXN_00038340,USR_009331,MRC_04352,gambling,2026-05-04 22:11:40.937664,67.18,purchase,mobile_app,0,1,0,27.968785556799283,-77.14477836231617,1628.43,0,0,none,2551
TXN_00030263,USR_001287,MRC_01468,atm_withdrawal,2026-05-06 09:19:34.903402,302.73,online_purchase,pos_terminal,0,1,1,34.16996616405943,-118.0517403576201,1287.52,0,0,none,306
TXN_00041252,USR_009600,MRC_04389,electronics,2026-04-15 16:21:33.177319,358.97,online_purchase,pos_terminal,0,1,0,35.764013538534314,-74.49481879370657,3686.05,0,0,none,3515
TXN_00014644,USR_000960,MRC_01324,jewelry,2026-05-06 15:57:06.198277,515.83,contactless,web_browser,0,1,0,31.95731816894968,-102.11313903637198,656.27,0,0,none,1935
TXN_00026335,USR_008785,MRC_04373,gas_station,2026-04-27 10:57:24.694940,38.59,purchase,mobile_app,1,0,0,42.70156574611448,-100.75400986971964,1322.91,1,0,none,2962
TXN_00028102,USR_007883,MRC_04240,retail,2026-05-05 08:41:22.142997,117.23,purchase,mobile_app,1,0,0,35.3461872483856,-105.32397244281192,1842.84,0,0,none,693
TXN_00017523,USR_001205,MRC_01743,money_transfer,2026-03-14 20:15:32.920531,606.77,online_purchase,pos_terminal,1,0,0,27.83538654266827,-82.55844848335138,1811.11,0,0,none,3393
TXN_00024712,USR_002589,MRC_01848,insurance,2026-02-09 16:00:24.384091,306.71,refund,mobile_app,0,1,0,26.228672416808426,-111.93931154348083,3008.14,0,0,none,3328
TXN_00040485,USR_009561,MRC_04569,healthcare,2026-04-12 16:01:00.027272,104.85,online_purchase,pos_terminal,1,0,0,42.405863819486314,-81.37587321779387,3574.04,0,0,none,661
TXN_00003850,USR_002895,MRC_01243,crypto_exchange,2026-05-11 20:14:30.264583,555.47,purchase,web_browser,0,1,0,38.92367738273864,-70.55587008140627,3799.68,0,0,none,63
TXN_00040040,USR_000163,MRC_03322,online_shopping,2026-04-27 06:52:39.571263,142.79,atm_withdrawal,mobile_app,0,1,0,44.2750675614821,-89.48813157237092,1279.43,0,0,none,1977
TXN_00015267,USR_006643,MRC_00886,utility,2026-03-25 21:03:07.744419,232.14,atm_withdrawal,pos_terminal,0,1,0,34.485137601669095,-106.7958949125872,1517.99,0,0,none,3543
TXN_00049146,USR_001156,MRC_04768,gambling,2026-04-29 09:28:32.199849,119.32,online_purchase,pos_terminal,0,1,0,46.56518858472796,-121.03122015145946,4591.8,0,0,none,3144
TXN_00030001,USR_004670,MRC_02569,grocery,2026-04-05 21:30:55.109596,47.42,online_purchase,mobile_app,0,1,0,25.39321456273143,-114.95340625672105,2027.56,0,0,none,581
TXN_00045926,USR_007979,MRC_00125,online_shopping,2026-05-04 12:51:04.425169,99.51,contactless,web_browser,0,1,0,40.737044697175016,-103.88524946958555,1963.28,0,0,none,3261
TXN_00043824,USR_007132,MRC_03571,restaurant,2026-04-08 07:27:39.180488,40.37,purchase,web_browser,1,0,0,44.25447054947629,-109.96852372696944,1693.53,1,0,none,1440
TXN_00017240,USR_006764,MRC_02012,education,2026-03-10 18:58:45.233010,336.52,purchase,web_browser,0,1,0,46.79425736715747,-73.59311932737913,653.46,0,0,none,172
